# Bill of Materials,,,,,,,,,,,
# Converted from {},,,,,,,,,,,
# Generated by bom_to_text.py,,,,,,,,,,,
#,,,,,,,,,,,
,,,,,,,,,,,
Qty,Value,Device,Package,Parts,Description,DESCRIPTION,DIGIKEY,MANUFACTURER,MOUSER,MPN,SPICEPREFIX
4,,DIODE_ZENERSOT323,SOD323,"D1,D2,D3,D4",,DIODE ZENER 3.3V 200MW SOD323F,MM3Z3V3BCT-ND ,ON Semiconductor ,,MM3Z3V3B ,
2,,M024UCON-15767,JST-2-SMD-VERT,"JP1,JP2",Header 2,CONN HEADER PH TOP 2POS 2MM SMD,455-1734-1-ND,JST Sales America Inc.,,B2B-PH-SM4-TB(LF)(SN),
1,,MS518SE,MS518SE-FL35E,B1,"A small, low leakage rechargeable battery for RTC backup",,728-1054-ND,Seiko,,MS518SE-FL35E,
1,,SPH0645LM4H-B,SPH0465,U15,An I2S microphone down to 20hz,,423-1405-1-ND,Knowles,721-SPH0645LM4H-B,SPH0645LM4H-B,
4,0.1uF,CAPACITOR0402_CAP,0402_CAP,"C4,C5,C6,C7",SMD Capacitor,CAP CER 0.1UF 10V X5R 0402,311-1336-1-ND,Yageo,,CC0402KRX5R6BB104,
1,0.82uF,CAPACITOR0402_CAP,0402_CAP,C9,SMD Capacitor,,490-10440-1-ND,Murata Electronics North America,,GRM155C80J824KE15D,
7,100k,RESISTOR0402_RES,0402_RES,"R20,R21,R22,R23,R24,R25,R26",Resistor,RES SMD 100K OHM 1% 1/16W 0402,311-100KLRCT-ND,Yageo,,RC0402FR-07100KL,
2,100uF,CAPACITOR1210_CAP,1210_CAP,"C15,C16",SMD Capacitor,CAP CER 100UF 10V X5R 1210,490-9969-6-ND,Murata Electronics North America,,GRM32ER61A107ME20L,
10,10k,RESISTOR0402_RES,0402_RES,"R9,R10,R11,R12,R13,R14,R15,R16,R17,R18",Resistor,RES SMD 10K OHM 1% 1/16W 0402 ,311-10.0KLRCT-ND,Yageo,,RC0402FR-0710KL,
2,10nF,CAPACITOR0402_CAP,0402_CAP,"C2,C3",SMD Capacitor,CAP CER 10000PF 16V X7R 0402,490-4762-1-ND,Murata Electronics North America,,GCM155R71H103KA55D,
2,10uF,CAPACITOR0402_CAP,0402_CAP,"C13,C14",SMD Capacitor,CAP CER 10UF 6.3V X5R 0402,490-13211-1-ND,Murata Electronics North America,,GRJ155R60J106ME11D,
4,1M,RESISTOR0402_RES,0402_RES,"R37,R38,R39,R40",Resistor,RES 1M OHM 1% 1/16W 0402,311-1.00MLRCT-ND,Yageo,,RC0402FR-071ML,
